,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,No.,Area,Sub-Task,Priority (P0/P1/P2),Current State / Risk,What To Do (Acceptance Criteria),Files / Places to Change,Owner,Status,Target % After Done,Why?
,18,Backend/API Security,Rate limiting & IP throttling,P0,APIs can be spammed,Add per-IP and per-UID rate limits; exponential backoff for repeated abuse,functions/src/middleware/rateLimit.ts,Tarun/Dev,Done,42,Rate limiting & IP throttling — Why: protect from spam/abuse. Do: per-IP & per-UID token bucket; backoff after threshold. Gotchas: carrier NAT; admin whitelists; log hits. Test: scripted bursts → 429 then recovery. Patch: patches/feat-backend-api-security-rate-limiting.patch
,19,Backend/API Security,CORS & origin allowlist,P0,Permissive or default CORS,Set strict CORS allowlist (app bundle + admin console); block others,functions/src/middleware/corsAllowlist.ts; functions/src/index.ts,Tarun/Dev,Done,43,"CORS & origin allowlist — Why: reduce cross-origin attacks. Do: strict allowlist (bundle/admin domains), deny *, handle OPTIONS. Gotchas: preview and prod domains. Test: unknown origin fails preflight. Patch: patches/feat-backend-api-security-cors-allowlist.patch"
,20,Backend/API Security,Secrets handling (revoke PAT),P0,Airtable PAT exposed in .env and EXPO_PUBLIC_*,Revoke old PAT; store in Functions config; remove from client; rotate regularly,firebase functions:config; remove .env; .gitignore,Tarun/Dev,Done,48,Secrets handling (revoke PAT) — Why: exposed PAT = immediate risk. Do: revoke; move to Functions config; remove from client; rotate; update .gitignore. Gotchas: scrub commit history/caches; kill old builds. Test: ensure bundle has no secrets; server reads config at runtime. PR: https://github.com/tageja/tuto1/pull/new/feat/backend-security/secrets-handling
,21,Backend/API Security,Least-privilege Airtable PAT,P1,PAT likely has wide scope,Create base-scoped PAT with read/write only to needed tables; no workspace-wide perms,Airtable admin; functions config,Tarun/Dev,Done,49,Least-privilege Airtable PAT — Why: minimize blast radius. Do: base-scoped PAT; only needed tables; avoid owner tokens. Gotchas: document rotation. Test: app routes still function with reduced scope. Patch: patches/feat-backend-security-least-privilege-pat.patch
,22,Backend/API Security,Audit logs for writes,P1,No write audit trail,"Log actor UID, action, table, payload hash to an Audit table",functions/src/index.ts; functions/src/middleware/audit.ts; Airtable 'Audit' table,Tarun/Dev,Done,50,"Audit logs for writes — Why: forensics & disputes. Do: log UID/action/table/recordId/payload hash/time in separate “Audit” table, append-only. Gotchas: no raw PII. Test: create/edit/delete → audit row written. Patch: patches/feat-functions-audit-logs.patch"
,23,Backend/API Security,API versioning,P2,Single version routes only,Introduce /v1 prefix and keep contract stable; deprecate old routes gracefully,functions/src/index.ts; docs/API.md,Tarun/Dev,Done,51,API versioning — Why: safe changes/back-compat. Do: /v1 prefix; deprecate on schedule; doc versions. Gotchas: client pins; usage analytics. Test: v1 & v2 coexist during migration. Patch: patches/feat-backend-api-api-versioning.patch
,24,Maps / Nearby,Install maps & location libs,P0,No react-native-maps or expo-location configured,Add packages; iOS/Android permissions; simple map screen,app.json; src/screens/MapScreen.tsx; src/hooks/useLocation.ts; src/navigation/AppNavigator.tsx,Tarun/Dev,Done,20,"Install maps & location libs — Why: nearby discovery is core. Do: react-native-maps, expo-location, platform permissions, simple map + markers. Gotchas: Android Maps API key; iOS usage strings. Test: permission flow + render markers. Patch: patches/feat-maps-location-permissions.patch"
,25,Maps / Nearby,Permission flow & fallbacks,P0,No permission prompts/UX,Handle ask/denied states; manual location entry fallback,src/screens/MapScreen.tsx; src/hooks/useLocation.ts,Tarun/Dev,Done,25,Permission flow & fallbacks — Why: many deny GPS. Do: rationale screen; manual area entry; cache consent. Gotchas: “Ask Next Time” edge cases; deep-link to settings. Test: deny path still usable. Patch: patches/feat-maps-location-permissions.patch
,,Maps / Nearby,Marker clustering & callouts,P1,Map performance poor with many markers,Add clustering; show TeacherCard preview in callout; navigate to profile,app/(tabs)/map.tsx; src/components/MapMarker.tsx,Tarun/Dev,Done,30,Marker clustering & callouts — Why: performance/clarity with many markers. Do: clustering; callout shows mini TeacherCard + CTA. Gotchas: tap targets; z-index; low-end devices. Test: 100+ markers pan/zoom smoothly. Patch: patches/feat-maps-marker-clustering-callouts.patch
,26,Maps / Nearby,Distance filter & sorting,P1,No distance-based sorting,Server calculates distance from user coordinate; filter <=X km; sort ascending,functions/src/index.ts; src/services/backend.ts,Tarun/Dev,Done,33,Distance filter & sorting — Why: parents choose nearby first. Do: server Haversine distance; <=2/5/10 km filters; sort ascending. Gotchas: units consistency; cached geocodes. Test: ordering against known coordinates. Patch: patches/feat-maps-distance-filter.patch
,27,Maps / Nearby,â€˜Open in Mapsâ€™ deep link,P2,No native directions shortcut,Add deep link to Google/Apple Maps with coordinates,src/screens/TeacherProfileScreen.tsx,Tarun/Dev,Done,35,“Open in Maps” deep link — Why: quick trust builder. Do: link to Google/Apple Maps with lat/lng + label. Gotchas: platform URL schemes; i18n address strings. Test: opens correct app destination. Patch: patches/feat-maps-open-in-maps.patch
,28,Airtable Schema & Scripts,Lock schema v1 (doc),P0,Schema is clear but not locked/versioned,Publish schema.md (tables/fields/types); freeze v1; plan migrations,docs/schema.md,Tarun/Dev,Done,72,Lock schema v1 (doc) — Why: avoid field drift. Do: docs/schema.md with tables/fields/types/relations; tag v1; migrate via scripts. Gotchas: hidden/formula fields. Test: CI check fails when unknown fields appear. Patch: patches/feat-schema-ci-legal.patch
,29,Airtable Schema & Scripts,Server-side constraints,P0,Constraints only implied in UI,Enforce uniqueness & referential checks in Functions before writes,functions/src/index.ts; functions/src/schemas/*.ts,Tarun/Dev,Done,74,"Server-side constraints — Why: UI checks are bypassable. Do: enforce uniqueness (email/phone), enums (status), FK existence. Gotchas: race conditions; idempotency keys. Test: duplicates/invalid refs rejected. Patch: patches/feat-functions-server-constraints.patch"
,30,Airtable Schema & Scripts,Seed & sample data scripts,P1,Manual seeding,Write seeds for Teachers/Parents/Bookings for QA/dev,scripts/seed.ts,Tarun/Dev,Done,75,Seed & sample data scripts — Why: reproducible QA/dev. Do: seed realistic small sets; reset script; mark as seed. Gotchas: never seed prod. Test: fresh env loads fast with seeds. Patch: patches/feat-airtable-schema-seed-sample-data-scripts.patch
,31,Airtable Schema & Scripts,Backups & export routine,P1,No routine backups,Nightly export of key tables to GCS/S3; retention=30d,functions/src/cron/backups.ts,Tarun/Dev,Done,76,"Backups & export routine — Why: safety/rollback. Do: nightly export to GCS/S3 (CSV/JSON), encrypt, retain ≥30d. Gotchas: PII handling; restore drills. Test: restore to staging. Patch: patches/feat-airtable-schema-backups-export-routine.patch"
,32,Airtable Schema & Scripts,Indices / computed fields,P2,Lookups/rollups could improve list perf,"Add computed fields (avgRating, studentCount), and precomputed geo fields",Airtable base; schema.md,Tarun/Dev,Not Started,77,"Indices / computed fields — Why: faster lists, simpler UI. Do: formula/rollup: avgRating, studentCount, geoHash. Gotchas: formula cost; keep simple. Test: list queries rely on computed fields."
,33,Airtable Schema & Scripts,Admin Interface (Airtable Interfaces),P2,No admin dashboards,"Create simple triage boards for new bookings, teacher approvals, reports",Airtable Interfaces,Tarun/Dev,Not Started,78,"Admin Interface (Airtable Interfaces) — Why: lightweight back office. Do: triage boards (bookings, approvals, reports) with restricted access. Gotchas: separate audit trail for admin edits. Test: admin approves; non-admin blocked."
,34,CI/CD & Releases,EAS profiles & build pipelines,P0,No eas.json; no separate tracks,Add dev/preview/prod profiles; GitHub Actions for lint/test/build on PRs,eas.json; .github/workflows/build.yml,Tarun/Dev,Done,30,"EAS profiles & build pipelines — Why: reliable releases. Do: eas.json (dev/preview/prod), GH Actions for lint/test/build, proper signing. Gotchas: keystore/provisioning secrets. Test: PR triggers builds; artifacts + rollback. Patch: patches/feat-schema-ci-legal.patch"
,35,CI/CD & Releases,OTA updates policy,P1,OTA unspecified,Define release channels; disable OTA for breaking native changes; document rollout,eas.json; docs/release.md,Tarun/Dev,Done,35,"OTA updates policy — Why: avoid native breakage via OTA. Do: channels, disable OTA on native bumps, doc rollout. Gotchas: users stuck on old binary; show “update available.” Test: preview channel OTA only. Patch: patches/feat-cicd-ota-updates-policy.patch"
,36,CI/CD & Releases,App identifiers & store assets,P1,Basic app.json only,"Set package/bundle IDs, icons/splash, permissions strings, versioning",app.json; assets/*,Tarun/Dev,Done,40,"App identifiers & store assets — Why: store requirements & trust. Do: bundle/package IDs, icons/splash, permission strings, versioning. Gotchas: 1024×1024 icon, correct descriptions. Test: store validation passes. Patch: patches/feat-cicd-app-identifiers-assets.patch"
,37,CI/CD & Releases,Pre-release QA checklist,P1,No documented checklist,"Create test plan + release checklist (devices, locales, offline, slow network)",docs/release-checklist.md,Tarun/Dev,Done,42,Pre-release QA checklist — Why: prevent regressions. Do: checklist for devices/locales/offline/slow net/auth/booking/maps; assign owners. Gotchas: tie to build number. Test: run per release; bug capture with repro steps. Patch: patches/feat-cicd-pre-release-checklist.patch
,38,CI/CD & Releases,Store listings (ASO),P2,No metadata drafted,"Draft App Store/Play text, screenshots, privacy labels",docs/store-listing.md; assets/store/*,Tarun/Dev,Done,45,"Store listings (ASO) — Why: discovery/conversion. Do: titles, subtitles, long desc (VI/EN), screenshots, 15–30s video. Gotchas: kids/privacy claims. Test: beta review with 3–5 users. Patch: patches/feat-cicd-store-listings.patch"
,39,Analytics & Monitoring,Sentry DSN & source maps,P0,Sentry wrapper present but DSN unset; no source maps upload,Set EXPO_PUBLIC_SENTRY_DSN via secrets; upload source maps in CI; verify crash appears,App.tsx; src/services/analytics.ts; .github/workflows/sourcemaps.yml,Tarun/Dev,Done,40,Sentry DSN & source maps — Why: readable crash traces. Do: set DSN via secrets; CI uploads source maps; attach user/role context. Gotchas: env separation; avoid PII. Test: forced error shows readable stack. Patch: patches/feat-schema-ci-legal.patch
,40,Analytics & Monitoring,Event taxonomy (analytics),P0,No unified event map,"Define events: search, profile_view, booking_start/complete, map_open; include user/role context",docs/analytics.md; src/services/analytics.ts,Tarun/Dev,Done,45,"Event taxonomy (analytics) — Why: comparable metrics. Do: central event map (search, profile_view, booking_start/complete, map_open) + user/role; version events. Gotchas: ad-hoc spam. Test: funnels have the needed events. Patch: patches/feat-analytics-event-taxonomy.patch"
,41,Analytics & Monitoring,Funnel dashboards,P1,No funnels or retention views,Create dashboards for Search â†’ Profile â†’ Book; retention D1/D7,docs/analytics.md,Tarun/Dev,Done,47,Funnel dashboards — Why: see drop-offs. Do: Search → Profile → Booking Start → Booking Complete; segment by city/role. Gotchas: filter internal/bot traffic. Test: alarms on large drops. Patch: patches/feat-analytics-funnel-dashboards.patch
,42,Analytics & Monitoring,"Performance metrics (TTI, list time)",P2,No perf tracking,"Measure app start, time to first list, API p95; set SLOs",src/services/analytics.ts; docs/slo.md; App.tsx,Tarun/Dev,Done,48,"Performance metrics (TTI, list time) — Why: perceived speed. Do: measure App Start, Time-to-First-List, API p95; SLOs + alerts. Gotchas: dev build noise; per-device class. Test: improvements after caching/pagination. Patch: patches/feat-analytics-performance-metrics.patch"
,43,Legal/Compliance/Moderation,Privacy Policy & ToS screens,P0,No legal docs in-app,Show legal links in Settings and during onboarding; log acceptance,src/screens/LegalScreen.tsx; src/navigation/AppNavigator.tsx,Tarun/Dev,Done,15,Privacy Policy & ToS screens — Why: store compliance + trust. Do: link in Settings/onboarding; store acceptance (version/timestamp). Gotchas: VI/EN localization; keep updated. Test: re-prompt on version change. Patch: patches/feat-schema-ci-legal.patch
,44,Legal/Compliance/Moderation,Age gate & parental consent,P0,Child users possible; no consent flow,Add age gate; require parent email/phone verification for minors,src/screens/AgeGateScreen.tsx; functions/src/users.ts,Tarun/Dev,Done,18,"Age gate & parental consent — Why: minors. Do: ask age; if minor, collect/verify parent; restrict UGC until consent. Gotchas: store minimal data; false age edge cases. Test: minor flow triggers consent. Patch: patches/feat-schema-ci-legal.patch"
,45,Legal/Compliance/Moderation,Report/block & content guidelines,P1,UGC with no moderation tools,Add report/block on posts/ratings; admin review queue; publish content rules,app/feed.tsx; functions/src/moderation.ts; docs/content-policy.md,Tarun/Dev,Not Started,22,"Report/block & content guidelines — Why: safe community. Do: report on posts/ratings, block users, admin review queue, public rules. Gotchas: abuse of reporting; rate-limit. Test: admin items created; repeat abusers blocked."
,46,Legal/Compliance/Moderation,Data retention & deletion,P2,No retention policy,Add account deletion and data export path; retention periods for UGC,docs/privacy.md; functions/src/users.ts,Tarun/Dev,Not Started,25,Data retention & deletion — Why: user rights/cost. Do: account deletion/export; set retention timelines for UGC. Gotchas: backups still hold data; document timelines. Test: deletion propagates to Airtable/backups per policy.
,47,Payments / Fees,Choose gateway & region setup,P1,No gateway implemented,Pick Stripe (global) or local VN gateway; test sandbox accounts,docs/payments.md,Tarun/Dev,Not Started,5,"Choose gateway & region setup — Why: monetization. Do: Stripe (global) or local VN gateway; sandbox accounts; supported currencies/cards. Gotchas: KYC, payout cycles, fees/refunds policy. Test: sandbox 3DS/SCA flows."
,48,Payments / Fees,Create Payment Intent backend,P1,No server-side payment flow,Create /payments/create-intent; amount validation; currency; return client secret,functions/src/payments.ts,Tarun/Dev,Not Started,12,"Create Payment Intent backend — Why: price integrity. Do: server computes amount; create intent; return client secret; pending row in DB. Gotchas: tamper-proof amount, rounding, idempotency. Test: multi-clicks → one intent."
,49,Payments / Fees,Client collect & confirm payment,P1,No client integration,Use gateway SDK to confirm and handle SCA; show success/failure UI,app/booking.tsx; src/services/payments.ts,Tarun/Dev,Not Started,18,Client collect & confirm payment — Why: complete UX. Do: use SDK; handle SCA; clear success/failure; (optional) store last4/brand with consent. Gotchas: retries/cancel mid-flow; a11y. Test: declined/cancel/success paths.
,50,Payments / Fees,Webhooks & reconciliation,P1,No webhook processing,Handle payment.succeeded/failed; mark Booking paid; write receipt row; retry on failure,functions/src/webhooks/payments.ts; Airtable Receipts,Tarun/Dev,Not Started,22,Webhooks & reconciliation — Why: server is source of truth. Do: on payment.succeeded mark booking paid; write receipt; retry safely on failure. Gotchas: signature verify; idempotency; delayed events. Test: replay webhooks → consistent ledger.
,51,Payments / Fees,Refunds & admin actions,P2,No refunds path,Implement partial/full refunds; permission-checked; audit log,functions/src/payments.ts; Airtable Audit,Tarun/Dev,Not Started,25,Refunds & admin actions — Why: trust & support. Do: partial/full refunds; permission-checked; audit trail; notify parent. Gotchas: time-limits; double-refund prevention; chargebacks. Test: refund updates ledger/UI instantly.
