Batch,Module,ModuleTitle,Lesson,LessonTitle,StepNum,StepTitle,StepType,AnimationType,Characters,SceneSetting,Status,HeyGenVideo,Notes
12,6,Reassurance Under Pressure,2,Anxious Family at ICU Doors,2,Read the Family Dialogue,script_read,FAMILY,Nurse+Family,ICU entrance,Pending,No,
12,6,Reassurance Under Pressure,6,Pair Practice — Calming a Confused Elderly Patient,1,Full Script — Nurse and Confused Patient,script_read,CONVO_2,Nurse+Patient,Ward bed,Pending,No,
12,6,Reassurance Under Pressure,7,Pair Practice — Managing Family Demanding Answers,1,Full Script — Nurse and Demanding Family Member,script_read,FAMILY,Nurse+Family,Ward corridor,Pending,No,
13,7,Red Flags & Escalation,1,Calling a Code Blue,1,Ward — Patient Collapse,scenario_intro,SCENE_CARD,—,General ward,Pending,No,
13,7,Red Flags & Escalation,1,Calling a Code Blue,3,Read the Code Blue Dialogue,script_read,DEBRIEF,Nurse+Doctor,Ward bed,Pending,No,
13,7,Red Flags & Escalation,4,Sepsis Screening Communication,1,Ward — Suspected Sepsis,scenario_intro,SCENE_CARD,—,Ward bed,Pending,No,
13,7,Red Flags & Escalation,4,Sepsis Screening Communication,3,Read the Sepsis Escalation,script_read,CONVO_2,Nurse+Patient,Ward bed,Pending,No,
14,7,Red Flags & Escalation,2,Recognising Stroke Symptoms — FAST,2,Read the Stroke Escalation,script_read,DEBRIEF,Nurse+Doctor,Ward corridor,Pending,No,
14,7,Red Flags & Escalation,6,Pair Practice — Unresponsive Patient,1,Full Script — Nurse Calls Rapid Response,script_read,DEBRIEF,Nurse+Doctor,Ward bed,Pending,No,
14,7,Red Flags & Escalation,7,Pair Practice — Paediatric Emergency Escalation,1,Full Script — Paediatric Escalation,script_read,DEBRIEF,Nurse+Doctor,Paediatric bay,Pending,No,
15,8,Documentation and Rapid Reporting,1,End-of-Shift Handover to Incoming Nurse,1,Ward — End of Day Shift,scenario_intro,SCENE_CARD,—,Nursing station,Pending,No,
15,8,Documentation and Rapid Reporting,1,End-of-Shift Handover to Incoming Nurse,3,Read the Handover Dialogue,script_read,DEBRIEF,Nurse+Nurse,Nursing station,Pending,No,
15,8,Documentation and Rapid Reporting,4,Handing Over a Deteriorating Patient Mid-Treatment,1,Ward — Patient Deteriorating During Handover,scenario_intro,SCENE_CARD,—,Ward bed,Pending,No,
15,8,Documentation and Rapid Reporting,4,Handing Over a Deteriorating Patient Mid-Treatment,3,Read the Urgent Handover,script_read,DEBRIEF,Nurse+Doctor,Ward bed,Pending,No,
16,8,Documentation and Rapid Reporting,2,On-Call Doctor Night Report,2,Read the Night Report,script_read,DEBRIEF,Nurse+Doctor,Nursing station,Pending,No,
16,8,Documentation and Rapid Reporting,6,Pair Practice — Nurse to Nurse Shift Handover,1,Full Script — Nurse to Nurse Handover,script_read,DEBRIEF,Nurse+Nurse,Nursing station,Pending,No,
16,8,Documentation and Rapid Reporting,7,Pair Practice — Nurse to Doctor Verbal Report,1,Full Script — Nurse Reports to Doctor,script_read,DEBRIEF,Nurse+Doctor,Nursing station,Pending,No,
17,9,Simulation and Emergency Review,1,Team Debrief After Resuscitation,1,Resuscitation Room — Post-Code Debrief,scenario_intro,SCENE_CARD,—,Resuscitation room,Pending,No,
17,9,Simulation and Emergency Review,1,Team Debrief After Resuscitation,3,Read the Debrief Dialogue,script_read,DEBRIEF,Nurse+Nurse+Doctor,Resuscitation room,Pending,No,
17,9,Simulation and Emergency Review,4,Asking a Senior Colleague for Feedback,1,Ward — After a Difficult Shift,scenario_intro,SCENE_CARD,—,Staff room,Pending,No,
17,9,Simulation and Emergency Review,4,Asking a Senior Colleague for Feedback,3,Read the Feedback Request,script_read,DEBRIEF,Nurse+Supervisor,Staff room,Pending,No,
18,9,Simulation and Emergency Review,2,Discussing a Near-Miss with a Supervisor,2,Read the Near-Miss Discussion,script_read,DEBRIEF,Nurse+Supervisor,Office,Pending,No,
18,9,Simulation and Emergency Review,6,Pair Practice — Nurse to Supervisor Debrief,1,Full Script — Nurse Debriefs with Supervisor,script_read,DEBRIEF,Nurse+Supervisor,Office,Pending,No,
18,9,Simulation and Emergency Review,7,Pair Practice — Nurse to Nurse Case Presentation,1,Full Script — Nurse Presents Case to Colleague,script_read,DEBRIEF,Nurse+Nurse,Nursing station,Pending,No,
19,10,Emergency Procedures Communication,1,Explaining IV Line Insertion,1,A&E — Patient Needs IV,scenario_intro,SCENE_CARD,—,A&E bay,Pending,No,
19,10,Emergency Procedures Communication,1,Explaining IV Line Insertion,3,Read the IV Explanation Dialogue,script_read,CONVO_2,Nurse+Patient,A&E bay,Pending,No,
19,10,Emergency Procedures Communication,4,Gaining Rapid Consent for NG Tube,1,A&E — Patient Needs NG Tube,scenario_intro,SCENE_CARD,—,A&E bay,Pending,No,
19,10,Emergency Procedures Communication,4,Gaining Rapid Consent for NG Tube,3,Read the NG Tube Explanation,script_read,CONVO_2,Nurse+Patient,A&E bay,Pending,No,
19,11,Trauma & Acute Injuries,1,Road Traffic Accident Victim in A&E,1,A&E — RTA Victim Arrives,scenario_intro,SCENE_CARD,—,A&E trauma entrance,Pending,No,
20,10,Emergency Procedures Communication,6,Pair Practice — Nurse to Patient: IV Explanation,1,Full Script — Nurse Explains IV to Patient,script_read,CONVO_2,Nurse+Patient,A&E bay,Pending,No,
20,10,Emergency Procedures Communication,7,Pair Practice — Gaining Rapid Consent,1,Full Script — Nurse Gains Consent for Defibrillator,script_read,CONVO_2,Nurse+Patient,A&E bay,Pending,No,
20,11,Trauma & Acute Injuries,1,Road Traffic Accident Victim in A&E,3,Read the Trauma Handover,script_read,DEBRIEF,Nurse+Doctor,Trauma bay,Pending,No,
20,11,Trauma & Acute Injuries,4,Head Injury — GCS Assessment,1,A&E — Head Injury Patient,scenario_intro,SCENE_CARD,—,A&E bay,Pending,No,
20,11,Trauma & Acute Injuries,4,Head Injury — GCS Assessment,3,Read the Head Injury Handover,script_read,DEBRIEF,Nurse+Doctor,A&E bay,Pending,No,
20,11,Trauma & Acute Injuries,2,Patient with Fall and Suspected Hip Fracture,2,Read the Fall Assessment,script_read,CONVO_2,Nurse+Patient,A&E bay,Pending,No,
20,11,Trauma & Acute Injuries,6,Pair Practice — Nurse to Doctor: Trauma Handover,1,Full Script — Trauma Handover to Doctor,script_read,DEBRIEF,Nurse+Doctor,Trauma bay,Pending,No,
20,11,Trauma & Acute Injuries,7,Pair Practice — Nurse to Nurse: Trauma Assessment,1,Full Script — Nurse Assesses Trauma Patient,script_read,CONVO_2,Nurse+Nurse,A&E bay,Pending,No,
20,12,Family Communication in Emergencies,1,Explaining a Cardiac Arrest to the Family,1,Resuscitation Room — Family Waiting,scenario_intro,SCENE_CARD,—,Relatives room,Pending,No,
20,12,Family Communication in Emergencies,1,Explaining a Cardiac Arrest to the Family,3,Read the Difficult News Dialogue,script_read,FAMILY,Nurse+Family,Relatives room,Pending,No,
20,12,Family Communication in Emergencies,4,Discussing CPR and Resuscitation Decisions,1,Ward — CPR Decision Discussion,scenario_intro,SCENE_CARD,—,Quiet room,Pending,No,
20,12,Family Communication in Emergencies,4,Discussing CPR and Resuscitation Decisions,3,Read the CPR Discussion,script_read,FAMILY,Nurse+Family,Quiet room,Pending,No,
20,12,Family Communication in Emergencies,2,Informing Family That Condition Has Worsened,2,Read the Deterioration Conversation,script_read,FAMILY,Nurse+Family,Relatives room,Pending,No,
20,12,Family Communication in Emergencies,6,Pair Practice — Nurse to Family: Breaking Bad News,1,Full Script — Nurse Breaks Bad News,script_read,FAMILY,Nurse+Family,Relatives room,Pending,No,
20,12,Family Communication in Emergencies,7,Pair Practice — Managing Information Requests During Treatment,1,Full Script — Nurse Manages Family During Resus,script_read,FAMILY,Nurse+Family,Resuscitation area,Pending,No,
