Asset Type,Asset Name,Full Path,What It Contains,When To Use It,Last Updated,Added By
Figma Prompt,7.1 MVP Mobile Screens,/Users/pc/Desktop/tutoSocialDesign1/FIGMA_PROMPT_7_1_MVP_MOBILE.md,Comprehensive Figma Make prompt for the 8 MVP mobile screens: School Feed / Post Detail / Create Post / Student Profile / School Announcement / Achievement Card / Parent-Child linking / Component Library. Includes full brand system / role system / privacy model / moderation badges.,Paste contents between the dashed lines into Figma Make. DONE — output received March 18 2026.,2026-03-18,PM Session
Figma Prompt,7.2 Achievement Post Card,/Users/pc/Desktop/tutoSocialDesign1/FIGMA_PROMPT_7_2_ACHIEVEMENT_CARD.md,Detailed Figma Make prompt for the achievement card component — 5 achievement type variants (Academic/Streak/Score/First/Certificate) / shareable 1:1 image format / 6 component states / parent consent moderation badge / gradient library.,Paste into Figma Make when ready to design achievement cards. Output NOT yet received — PENDING.,2026-03-18,PM Session
Figma Prompt,7.3 School Page,NOT YET CREATED — will be in /Users/pc/Desktop/tutoSocialDesign1/FIGMA_PROMPT_7_3_SCHOOL_PAGE.md,Will cover: official school profile page / pinned announcements / events calendar / staff directory / achievement spotlights / auto-share consent popup design.,Create and run AFTER 7.2 achievement card output is reviewed and approved.,TBD,TBD
Figma Prompt,7.4 Role-Based Profiles,NOT YET CREATED — will be in /Users/pc/Desktop/tutoSocialDesign1/FIGMA_PROMPT_7_4_ROLE_PROFILES.md,Will cover: teacher profile (shields / verified badge / booking CTA / subject expertise) / parent profile / student profile (achievements / class memberships). Three separate profile variants.,Create and run AFTER 7.3 school page output is reviewed and approved.,TBD,TBD
,,,,,,
DESIGN SCREENSHOTS — WEB BATCH (original Figma output — desktop 1440px),,,,,
Screenshot,Web Feed Screen,/Users/pc/Desktop/tutoSocialDesign1/homeTutoSocial.png,"First web design pass. 3-column layout (left nav / center feed / right rail). Shows: For You feed tabs / multiple post type cards (text/achievement/photo/event/assignment/poll) in Vietnamese / right rail with Upcoming Events + Assignments Due + Suggested Topics. Assessment: 7/10. Best of the web batch.",Reference for feed layout structure and right rail content design. Shows correct post type variety in feed.,2026-03-18,Figma Web Batch
Screenshot,Web Explore Screen,/Users/pc/Desktop/tutoSocialDesign1/tutoSocialExplore.png,"Web Explore page. 3 tabs (Topics/Groups/Schools) but only Topics tab has content. Shows trending topics (Math/IELTS/Physics/STEM) and topic list with Follow buttons. Assessment: 4.5/10 — too thin, just a hashtag browser.",Reference for explore tab layout. Note: Groups and Schools tabs were empty — needs redesign with teacher/school discovery.,2026-03-18,Figma Web Batch
Screenshot,Web Notifications Screen,/Users/pc/Desktop/tutoSocialDesign1/tutoSocialNotifications.png,"Web Notifications. Flat list of 4 notifications in Vietnamese (comment / 45 likes / assignment due / event reminder). Unread dots visible. No filter tabs. Assessment: 4/10 — placeholder only.",Reference for notification row design and Vietnamese content. Needs filter tabs (All/Social/Academic/Events).,2026-03-18,Figma Web Batch
Screenshot,Web Profile Screen,/Users/pc/Desktop/tutoSocialDesign1/tutoSocialProfile.png,"Web Profile for Nguyễn Minh Anh (Student). Blue gradient cover / avatar overlap / stats row / subject chips (Math/English/Physics) / Posts-Achievements-About tabs. Empty posts state. Assessment: 5/10 — generic.",Reference for profile header structure. Note: too generic — no achievement showcase / no class memberships. Needs role differentiation.,2026-03-18,Figma Web Batch
Screenshot,Web Shorts Screen,/Users/pc/Desktop/tutoSocialDesign1/tutoSocialShorts.png,"Web Shorts. Full-screen vertical. Creator info top-left / Age-appropriate badge top-right / right action rail (Like 1.2K/Applaud/Comment/Share/Bookmark) / subject chips (#Math #Tips #Education) / Vietnamese caption. ISSUE: placeholder video shows HBO ad. Assessment: 5.5/10.",Reference for Shorts layout structure. The HBO placeholder video must NOT be used in demos — replace with educational content illustration.,2026-03-18,Figma Web Batch
,,,,,,
DESIGN SCREENSHOTS — MOBILE BATCH 7.1 (second Figma output — mobile 390×844),,,,,
Screenshot,Mobile Notifications,"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/Screenshot 2026-03-18 at 12.38.20 PM.png","Mobile notifications screen. Proper mobile format. Bottom nav: Home/Trường học/Cộng đồng/Tìm kiếm/Hồ sơ. Vietnamese notification rows (comment / 45 likes / assignment due / event reminder). Unread dots. FAB create button. Assessment: 6/10.",Use as reference for mobile notification row layout and bottom nav structure.,2026-03-18,Figma Mobile Batch 7.1
Screenshot,Mobile Shorts,"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/Screenshot 2026-03-18 at 12.38.40 PM.png","Mobile Shorts. Full-screen vertical. Creator: Trần Hoàng Nam / Học sinh badge / school. Phù hợp độ tuổi (Age-appropriate) green badge top-right. Right action rail. Subject chips (#Math #Tips #Education). Vietnamese caption. Assessment: 6/10. Upper half black/broken.",Use for Shorts mobile layout reference. Note: upper black area and inconsistent action rail icons need fixing.,2026-03-18,Figma Mobile Batch 7.1
Screenshot,Mobile Explore (Topics selected),"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/Screenshot 2026-03-18 at 12.39.09 PM.png","Mobile Explore. Search bar at top. Tabs: Chủ đề (Topics) / Nhóm (Groups) / Trường học (Schools). Topics selected showing Đang thịnh hành (Trending) section with Math/IELTS/Physics/STEM counts. Khám phá thêm (Discover more) section below. Assessment: 5.5/10.",Use for explore mobile layout reference. Note: Groups and Schools tabs empty — Phase 2 to fill with people/school discovery.,2026-03-18,Figma Mobile Batch 7.1
Screenshot,Mobile 404 Page,"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/Screenshot 2026-03-18 at 12.39.17 PM.png","Mobile 404 page. Vietnamese: Không tìm thấy trang / Về trang chủ button. Not a product screen — auto-generated by Figma.",Low priority reference. Shows correct mobile shell and button style. Not a feature screen.,2026-03-18,Figma Mobile Batch 7.1
Screenshot,Mobile Profile (top half),"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/Screenshot 2026-03-18 at 12.39.30 PM.png","Mobile student profile (top). Blue gradient cover / avatar white border ring / Nguyễn Minh Anh + Học sinh badge / THCS Lê Quý Đôn / Chỉnh sửa (Edit) button / 52 Bài viết + 245 Người theo dõi + 189 Đang theo dõi / MÔN HỌC section with Math/English/Physics chips / Bài viết-Shorts-Thành tích tabs. Assessment: 6.5/10.",Best mobile profile design so far. Use for profile header structure / stats row / subject chips / tab bar.,2026-03-18,Figma Mobile Batch 7.1
Screenshot,Mobile Explore (duplicate/scroll),"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/Screenshot 2026-03-18 at 12.39.43 PM.png","Mobile Explore — same as explore screenshot above but with dark background on device. Appears to be a duplicate or slightly different scroll state.",Use as a secondary reference. Effectively same as the Topics explore screen.,2026-03-18,Figma Mobile Batch 7.1
Screenshot,Mobile Messages Placeholder,"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/Screenshot 2026-03-18 at 12.39.53 PM.png","Mobile Messages coming-soon screen. Tin nhắn (Messages) heading / Tính năng đang được phát triển (Feature in development) placeholder. Correct approach for MVP.",Use as reference for the Messages placeholder screen. This is correct for MVP — DMs are Phase 2.,2026-03-18,Figma Mobile Batch 7.1
Screenshot,Mobile Feed — Event Post (BEST SCREEN),"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/Screenshot 2026-03-18 at 12.40.09 PM.png","Mobile feed showing an event post. Feed tabs at top: Dành cho bạn / Đang theo dõi / Gần đây. Teacher Cô Mai Phương with verified ✓ badge and Giáo viên purple badge / STEM+Science subject chips / Location: Sân trường / Event card block (Hội chợ Khoa học STEM 2026 / date-time / 72 người quan tâm / Tham gia button). Assessment: 7.5/10. Best new mobile screen.",MOST USEFUL mobile reference. Use for post card layout / teacher badge styling / event post block design / Tham gia CTA button.,2026-03-18,Figma Mobile Batch 7.1
Screenshot,Mobile Feed — Poll Post,"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/Screenshot 2026-03-18 at 12.40.18 PM.png","Mobile feed showing a poll post by student. Trần Hoàng Nam / Học sinh badge / poll question (IELTS class schedule) / 4 options with vote percentages / winning option highlighted in blue / 90 vote count / IELTS+English chips / reaction bar. Assessment: 7.5/10.",Use for poll post card layout / poll option component / vote percentage bar / student post design.,2026-03-18,Figma Mobile Batch 7.1
Screenshot,Mobile Profile — Empty Posts Tab,"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/Screenshot 2026-03-18 at 12.40.28 PM.png","Mobile profile lower half showing Bài viết (Posts) tab with empty state illustration: book icon + Chưa có bài viết nào (No posts yet) + helper text. Also shows MÔN HỌC chips and Bài viết/Shorts/Thành... tabs.",Use for empty state design in profile posts grid. Note: we asked for filled mock posts — agent should NOT show empty state in demos.,2026-03-18,Figma Mobile Batch 7.1
Screenshot,Mobile Explore — Topics List,"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/Screenshot 2026-03-18 at 12.40.40 PM.png","Mobile Explore topics list scrolled down. Shows topic items: Physics/Chemistry/STEM/Literature/Biology each with post count and Theo dõi (Follow) button. Clean list layout.",Use for topic list row design and Follow button styling.,2026-03-18,Figma Mobile Batch 7.1
,,,,,,
DESIGN SCREENSHOTS — ACHIEVEMENT CARD BATCH 7.2 (Figma output for achievement post cards — received Mar 18 12:55),,,,,
Screenshot,Achievement Card Type 1 — Academic Milestone (Feed variant),"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/Screenshot 2026-03-18 at 12.55.39\u202fPM.png","Achievement card in feed. Gold-orange gradient header with 🏆 trophy (56px). 'Academic Milestone' type pill top-right. White content block showing author 'Phụ huynh Thảo' with Parent badge (NOTE: should be student in production — mock data issue). Body: 'Nguyễn Minh Anh đã hoàn thành 30 bài toán nâng cao liên tiếp!'. Context chips: Môn Math / Môn Grade6 / Lớp 6A. Reaction bar. Pinned teacher comment from Cô Mai Phương (teacher badge). 'Share Achievement' blue CTA. Assessment: 8/10.","PRIMARY reference for achievement card component. Use for gradient header design / context chip layout / pinned teacher comment section / Share Achievement CTA. NOTE: author role will be student in production — not parent.",2026-03-18,Figma Achievement Batch 7.2
Screenshot,Achievement Card Type 2 — Learning Streak (Feed variant),"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/Screenshot 2026-03-18 at 12.55.48\u202fPM.png","Achievement card in feed. Blue-teal gradient header with 🔥 fire emoji (56px). 'Learning Streak' type pill top-right. Title: 'Chuỗi ngày học tập!'. White content block: author 'Phụ huynh Thảo' Parent badge. Body: '21 ngày liên tiếp hoàn thành bài tập về nhà — kỷ lục mới!'. Chips: Môn English / Lớp 6A. Reaction bar. Pinned teacher comment. 'Share Achievement' CTA. Bottom nav visible: home/School/Community/Search/Profile all correct with Vietnamese labels. Assessment: 8/10.","Use for streak achievement card gradient variant. Also use for bottom nav design — shows correct Vietnamese labels (home label still shows as nav item without label text — confirm in screenshots).",2026-03-18,Figma Achievement Batch 7.2
,,,,,,
FIGMA CODE OUTPUTS (design prototypes — NOT production code — use as reference only),,,,,
Code Reference,Web Batch — Figma Prototype Code,"/Users/pc/Desktop/tutoSocialDesign1/Tuto Community Module Design code from figma/","React + Vite project (WRONG STACK — do not port directly). Key reference files: src/lib/types.ts (excellent TypeScript types for all social models) / src/lib/i18n.ts (full VI/EN translation keys) / src/lib/mock-data.ts (realistic Vietnamese mock data) / src/components/PostCard.tsx (handles all 9 post types). Stack: React+Vite+React Router+Tailwind+shadcn.",Use types.ts as reference for TypeScript interfaces. Use i18n.ts as reference for translation keys. Use mock-data.ts for dev/demo data. Do NOT copy component code directly — rewrite for React Native.,2026-03-18,Figma Web Batch
Code Reference,Mobile Batch v1 — Old Figma Prototype Code,"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/tuto design mobile screen code (check if it is not sure)/","React + Vite project — SAME codebase as web batch above. Monolithic components. Outdated — superseded by the new code/ folder below. Note: bottom nav shows nav.home as a raw i18n key (bug). Do not use this as reference anymore.",DEPRECATED — use the new code/ folder instead. Kept for historical reference only.,2026-03-18,Figma Mobile Batch 7.1
Code Reference,Achievement Card Batch — New Upgraded Figma Code (USE THIS),"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/code/","React + Vite project (WRONG STACK — do not port directly). SIGNIFICANTLY better than previous batches. 22 properly decomposed components. Key files: src/components/AchievementCard.tsx (3 variants: feed/share/compact) / src/components/AchievementMiniBadge.tsx / src/components/PostCard.tsx (with full ModerationBadge: ai_reviewed/pending/parent_approved) / src/components/ReactionBar.tsx / src/components/RoleBadge.tsx / src/components/ComposerModal.tsx / src/lib/types.ts / src/lib/i18n.ts / src/lib/mock-data.ts / src/imports/pasted_text/ (contains the 4 Figma prompts used — excellent for traceability).",This is the PRIMARY code reference for all social components. Extract TypeScript types from types.ts. Extract i18n keys from i18n.ts. Use AchievementCard.tsx as the exact design spec for the React Native AchievementCard component. Use ModerationBadge logic from PostCard.tsx. Do NOT copy JSX directly — rewrite for React Native + NativeWind.,2026-03-18,Figma Achievement Batch 7.2
Code Reference,Home Screen HTML Export,"/Users/pc/Desktop/tutoSocialDesign1/Mobile designs + code/home screen .html","Standalone HTML export of the home/feed screen. Static render. No interactivity.",Quick visual reference for feed layout without running the full React project.,2026-03-18,Figma Mobile Batch 7.1
,,,,,,
IMPLEMENTATION CODE (production code — NOT design reference),,,,,
Code,Part 1 — Supabase Migrations,/Users/pc/tutoAll/tuto1/supabase/migrations/044_social_profiles.sql → 052_social_indexes.sql,9 SQL migrations: social_profiles / social_posts / social_likes + social_saves / social_follows / social_comments / social_notifications / social_moderation_queue / RLS policies / performance indexes. All tables school-scoped.,Reference for DB schema and RLS logic when building new features.,2026-03-18,Cursor Agent Part 1
Code,Part 1 — Mobile Types,/Users/pc/tutoAll/tuto1/src/types/social/,TypeScript type definitions: common.types.ts (UserRole/PostType/etc) / profile.types.ts (SocialUser/SocialProfile) / post.types.ts (SocialPost/SocialComment/all payloads) / index.ts barrel.,Import social types from here. Do not re-define these types.,2026-03-18,Cursor Agent Part 1
Code,Part 1 — Mobile Services Layer,/Users/pc/tutoAll/tuto1/src/services/social/,api.client.ts (Supabase client) / auth.service.ts (SSO + ensureSocialProfile) / profile.service.ts (CRUD + follow graph) / feed.service.ts / posts.service.ts / interactions.service.ts / media.service.ts / index.ts barrel.,All social data access goes through these services. Never query Supabase directly from screens.,2026-03-18,Cursor Agent Parts 1 & 2
Code,Part 1 — Navigation & Placeholder Screen,/Users/pc/tutoAll/tuto1/src/navigation/SocialStack.tsx,Stack navigator with SocialFeed / PostDetail / CreatePost screens. Also: SocialFeedScreen placeholder replaced in Part 2.,Reference when adding new social screens to the navigation stack.,2026-03-18,Cursor Agent Part 1
Code,Part 1 — apps/social/ Next.js Scaffold,/Users/pc/tutoAll/tuto1/apps/social/,Full Next.js 14 App Router project: layout / login / auth callback / middleware / Supabase SSR clients / AuthContext / Header / Button / Avatar / Tailwind config with design tokens.,Base for all web social feature work. Do not restructure the app directory.,2026-03-18,Cursor Agent Part 1
Code,Part 1 — Supabase Edge Functions (Auth & Profiles),/Users/pc/tutoAll/tuto1/supabase/functions/social-profiles/ and social-auth/,social-profiles: GET/POST/PUT profiles. social-auth: SSO link — creates social profile on first login.,Use social-auth when implementing auth flows. Use social-profiles when server-side profile access is needed.,2026-03-18,Cursor Agent Part 1
Code,Part 2 — Mobile Social Components,/Users/pc/tutoAll/tuto1/src/components/social/,10 components: RoleBadge / SubjectChip / ModerationBadge / ReactionBar (haptic + animated) / LikeButton / PostCardSkeleton / AchievementCard (5 types + 3 variants) / PostCard (all 9 post types) / FeedHeader (animated tab indicator + composer) / PostOptionsMenu.,Import from here for all feed/post UI. Never duplicate these components.,2026-03-18,Cursor Agent Part 2
Code,Part 2 — Mobile Social Screens,/Users/pc/tutoAll/tuto1/src/screens/social/,SocialFeedScreen (FlatList + pull-to-refresh + infinite scroll + FAB) / PostDetailScreen (post + comments + sticky input) / CreatePostScreen (audience selector + photo picker + subject tags + moderation notice).,These are the 3 core social screens for Phase 1 MVP.,2026-03-18,Cursor Agent Part 2
Code,Part 2 — Web Feed Components,/Users/pc/tutoAll/tuto1/apps/social/components/feed/,FeedPost / PostInteractions (optimistic) / FeedContainer (IntersectionObserver infinite scroll + tab switcher) / FeedSkeleton / CommentSection (live comments + sticky input). Also: apps/social/app/post/[id]/page.tsx (post detail page).,Web equivalents of mobile feed components. Follow same design tokens.,2026-03-18,Cursor Agent Part 2
Code,Part 2 — Dashboard Feed Preview,/Users/pc/tutoAll/tuto1/apps/dashboard/components/social/,FeedPreview.tsx (server component — 3 trending public posts + Join tuto.social CTA) / FeedPreviewCard.tsx (compact card linking to tuto.social).,Embed FeedPreview in the tuto.asia homepage to drive social growth.,2026-03-18,Cursor Agent Part 2
Code,Part 2 — Supabase Edge Functions (Feed Interactions Posts),/Users/pc/tutoAll/tuto1/supabase/functions/social-feed/ and social-posts/ and social-interactions/,social-feed: paginated feed per tab + school-scoped JWT. social-posts: GET/POST/DELETE individual posts. social-interactions: react/unreact / save/unsave / comment / list-comments.,Use these Edge Functions when mobile/web need server-validated interaction endpoints.,2026-03-18,Cursor Agent Part 2
,,,,,,
ORIGINAL BRAINSTORM NOTES (pre-design session),,,,,
Notes,Original Chat Brainstorm,/Users/pc/Desktop/tuto social brainstorming notes .txt,"Full conversation text that produced the original Figma prompt. Contains: the initial Figma prompt for web design / Shorts audit request / assessment of 5 web screens / visual quality improvement prompt and recommendations. Signed off before the PM assessment document was created.",Read for historical context on how the product vision evolved. The PM Brainstorm doc supersedes this.,2026-03-18,Pre-PM Session
,,,,,,
HOW TO UPDATE THIS FILE — INSTRUCTIONS FOR ALL AGENTS,,,,,
Instructions,How to add a new asset,"When any of the following happen, add a new row to this CSV:",,,2026-03-18,PM Session
Instructions,Trigger 1,New Figma design output received (screenshots or code),Add row under appropriate section with full path / description / what it contains / when to use it,,2026-03-18,PM Session
Instructions,Trigger 2,New design screenshot saved anywhere on the system,Add row with exact path — do not leave screenshots undocumented,,2026-03-18,PM Session
Instructions,Trigger 3,New Figma prompt created,Add row under Figma Prompts section with path and whether output has been received,,2026-03-18,PM Session
Instructions,Trigger 4,New planning or strategy doc created,Add row under Strategy & Planning section,,2026-03-18,PM Session
Instructions,Trigger 5,New code reference or prototype saved,Add row under Figma Code Outputs section with clear note that it is NOT production code,,2026-03-18,PM Session
Instructions,Trigger 6,Any reference file moved or renamed,Update the Full Path column and add a note in the Notes field,,2026-03-18,PM Session
