Bug ID,Description,Severity,Status,Batch Found,Test ID,Steps to Reproduce,Expected Result,Actual Result,Root Cause Hypothesis,Fix Priority,Date Logged,Date Fixed,Dev Agent Fix Notes,Verified By
BUG-016,Reel mute button missing — audio cannot be toggled; isMuted hardcoded false,Medium,Verified Fixed,Batch 8,TC-063,1. Open mobile app | 2. Navigate to Reels tab | 3. Observe reel playing | 4. Look for mute/speaker icon,"First tap: sound mutes, icon changes. Second tap: sound unmutes",No mute toggle UI; isMuted={false} hardcoded in ReelsScreen and ReelDetailScreen — audio always on,ReelActions and Video component lack mute state + toggle; isMuted prop is static,16 — reel UX,2026-03-19,,,Test Agent 2026-03-19 — dev fixes verified working,
BUG-017,Typing indicator not implemented — no 'User is typing…' when remote user types,Medium,Verified Fixed,Batch 9,TC-066,"1. Two devices in same ChatScreen | 2. Device A starts typing | 3. Device B observes","Typing indicator (e.g. 'User is typing…') appears on Device B; disappears when typing stops","No typing indicator in ChatScreen; no typing channel or UI","ChatScreen does not subscribe to typing presence/channel; no typing UI component",17 — messaging UX,2026-03-19,2026-03-21,Fixed per PM confirmation 2026-03-21,PM 2026-03-21
BUG-018,Message read/delivery state not shown — no checkmarks on sent messages,Medium,Verified Fixed,Batch 9,TC-067,"1. Open ChatScreen | 2. Send a message | 3. Observe own message bubble","Own messages show single ✓ (sent) or double ✓✓ (read)","MessageBubble has no checkmarks; social_messages has no read_at/delivered_at fields","MessageBubble and Message type lack read/delivery state; DB schema has no delivery tracking",18 — messaging UX,2026-03-19,2026-03-21,Fixed per PM confirmation 2026-03-21,PM 2026-03-21
BUG-019,Chat does not load older messages on scroll — no pagination/infinite scroll,Medium,Verified Fixed,Batch 9,TC-068,"1. Open ChatScreen with >20 messages | 2. Scroll to top of message list","Previous messages load automatically; history extends upward","No older messages load; getMessages has limit=50 but no pagination; ChatScreen has no onScroll load","getMessages does not support offset/cursor; ChatScreen FlatList has no onEndReached/onScroll for load more",19 — messaging UX,2026-03-19,2026-03-21,Fixed per PM confirmation 2026-03-21,PM 2026-03-21
BUG-020,Messages fail when offline — no queue or auto-retry on reconnect,Medium,Verified Fixed,Batch 9,TC-069,"1. In ChatScreen | 2. Turn off WiFi | 3. Type message and tap Send | 4. Re-enable WiFi","Message queues locally; after reconnect sends automatically without user action","Message fails when offline; sendMessage is direct Supabase insert; no queue or retry","sendMessage has no offline handling; no local queue or NetInfo-based retry on reconnect",20 — messaging reliability,2026-03-19,2026-03-21,Fixed per PM confirmation 2026-03-21,PM 2026-03-21
BUG-016,Reels feed shows blank/black screens instead of video content,High,Verified Fixed,BATCH 8,"TC-044,TC-045,TC-046,TC-047,TC-053,TC-065",1. Login to mobile app | 2. Navigate to Reels tab | 3. Observe first reel | 4. Swipe to next reel,Video displays with author overlay and action buttons,Blank black screen — no video thumbnail or playback. Content area is empty.,Expo SDK 54 / expo-av v16 no longer reliably autoplay via shouldPlay in FlatList. Fix: ReelItem with videoRef + playAsync/pauseAsync + onLoad fallback; useNativeControls=false.,1 — blocks Reels MVP,2026-03-19,2026-03-19,ReelItem.tsx — onLoad callback to playAsync when ready; ReelsScreen; ReelDetailScreen; ReelActions,Test Agent 2026-03-19 — dev fixes verified working
BUG-017,Messaging tab console error — infinite recursion in RLS policy,High,Verified Fixed,BATCH 9,TC-054,1. Login to mobile app | 2. Tap Messages tab,Conversations list loads without error,Console error: Infinite recursion detected in policy for relation 'social_conversation_participants',RLS policy on social_conversation_participants table has circular/infinite constraint logic,2 — blocks Messaging MVP,2026-03-19,2026-03-19,PM: migration 062_fix_conversation_participants_rls.sql applied (SECURITY DEFINER),
BUG-018,No test conversations seeded in database for Messaging tests,High,Verified Fixed,BATCH 9,"TC-055,TC-056,TC-057,TC-058,TC-059,TC-060",1. Navigate to Messages tab | 2. Expect to see at least 1 existing conversation,At least 1 conversation visible in the list,Empty conversation list — no data to test with,social_conversations table empty; no 1:1 or group test conversations seeded for marketing@tutoglobal.com,3 — blocks all Messaging tests,2026-03-19,2026-03-19,PM: 2 conversations seeded (test_8z6r↔tarun_tuto, test_8z6r↔tarun_apollo),
BUG-019,Dual navigation bars cause UI clutter and hidden action buttons,Medium,Verified Fixed,BATCH 8,"TC-049,TC-051,TC-053",1. Navigate to Reels or MessagingTab | 2. Observe the bottom of the screen,"One context-aware navigation bar (either Tuto home OR Tuto social, not both)","Two navigation bars visible: Tuto home dashboard nav + Tuto social nav. Action buttons (share, mute) hidden behind nav bar. Author info partially obscured.",Two tab bars overlap; action buttons hidden.,4 — UX/polish,2026-03-19,2026-03-19,ReelActions.tsx + ReelInfo.tsx — bottom offset 120→160 so actions visible above overlapping nav bars,
BUG-020,Like count not displayed below heart button on Reels,Low,Verified Fixed,BATCH 8,TC-048,"1. On a reel, tap the heart (like button) | 2. Observe the like count indicator","Like count number visible below or next to the heart icon (e.g. 12, 13 after tap)",Heart turns red and count increments correctly BUT the numeric count is not displayed anywhere on the UI,Conditional {reel.likeCount > 0 ? reel.likeCount : ''} hid count when 0; counts always empty during testing.,5 — polish,2026-03-19,2026-03-19,ReelActions.tsx — show reel.likeCount/commentCount/shareCount unconditionally,
BUG-021,Profile messaging button not functional,Medium,Fixed — Pending Re-test,BATCH 8+9,TC-061 / TC-079,1. Navigate to another user's profile | 2. Tap the message button,Opens NewMessageScreen or ChatScreen with that user,Mobile: Fixed. Web: Button visible but disabled (title: Tính năng đang được phát triển) — no navigation.,Message button not wired to handler OR missing implementation for direct message initiation from profile,6 — blocks direct messaging flow,2026-03-19,2026-03-19,Mobile: ProfileHeader onMessagePress; SocialProfileScreen handleMessage. Web: apps/social ProfileHeader.tsx has Nhắn tin disabled — needs implementation.,
BUG-022,Mute button not present on Reel detail screen,Low,Fixed — Pending Re-test,BATCH 8,"TC-063,TC-065",1. Open a reel in detail screen | 2. Look for mute/speaker icon,Mute/speaker icon present in right action bar; tappable to toggle audio,Icon is not present on the reel detail screen — no way to mute audio,Missing component or not rendered in ReelDetailScreen layout,7 — feature gap,2026-03-19,2026-03-19,Covered by BUG-016 fix — ReelActions now has isMuted/onMuteToggle + mute button; ReelDetailScreen uses ReelItem,
BUG-023,Like counter reverts to 0 after app restart despite heart showing red — state not persisted,High,Verified Fixed,BATCH 8,TC-048,"1. On a reel, tap heart to like (count: 0→1, heart red) | 2. Close app entirely | 3. Reopen app and navigate back to same reel",Like count persists as 1; heart remains red (liked state preserved),Like count shows 0 but heart is red (inconsistent state). Count reverted but liked state didn't.,RLS on social_reels had no UPDATE policy; trigger's UPDATE was silently failing. SECURITY DEFINER fixes.,1 — UX confusion,2026-03-19,2026-03-19,063_reel_like_count_trigger_security_definer.sql — migration applied,Test Agent 2026-03-19 — like count persists after restart
BUG-024,Profile images different across different user accounts viewing same reel,Medium,Verified Fixed,BATCH 8,"TC-049,TC-050,TC-053",1. User A views reel from User X → sees profile image A | 2. User B (different account) views same reel from User X → sees profile image B,Both users see the same profile image for User X,Profile image differs based on viewing user account. Two different simulator accounts show two different avatars for same reel author.,picsum.photos/64 fallback returns random image per request; no seed → different per user/session.,2 — data consistency,2026-03-19,2026-03-19,ReelActions.tsx — use picsum.photos/seed/${reel.author.id}/64 for deterministic fallback,
BUG-025,Messages duplicate when sending — message sends twice instead of once,High,Verified Fixed,BATCH 9,TC-058,"1. In ChatScreen, type a message | 2. Tap Send button",Message appears once in chat with timestamp,Message appears twice in chat (duplicate entry). Both show same timestamp and content.,sendMessage response + Realtime INSERT both added message; no dedup. Double-tap possible.,3 — data integrity,2026-03-19,2026-03-19,ChatScreen.tsx — Realtime handler dedup by id; sending state disables button during send,"Test Agent 2026-03-19 — message dedup working, no duplicates"
BUG-026,Typing indicator not showing when remote user types message,Medium,Verified Fixed,BATCH 9,TC-066,1. User A in ChatScreen | 2. User B (different device) types a message | 3. User A observes chat for 'User is typing...' indicator,Typing indicator (e.g. 'User is typing...') appears within 1 second of User B starting to type,No typing indicator shown. User A sees nothing until the message is fully sent and received.,Typing indicator payload not sent or not rendered in ChatScreen. Supabase Realtime update for typing_status not being published.,4 — UX feedback,2026-03-19,,,Test Agent 2026-03-19 — dev fixes verified working
BUG-027,New messages appear at top of chat window instead of bottom — inverted scroll order,High,Verified Fixed,BATCH 9,"TC-057,TC-058,TC-059","1. In ChatScreen, receive a new message | 2. Observe where the message appears in the list",New messages appear at the BOTTOM of the chat (normal messaging UX) and auto-scroll to show them,New messages appear at the TOP of the chat window. Chat feels inverted. Old messages are at bottom; new messages stack at top.,FlatList in ChatScreen may have inverted={true} or data array is being reversed. Message list not sorting by timestamp ascending.,1 — critical UX,2026-03-19,,,Test Agent 2026-03-19 — dev fixes verified working
BUG-028,Reel creation fails with 'Cannot read property Base64 of undefined',High,Verified Fixed,BATCH 10,TC-070,"1. On Reels tab, tap + to create reel | 2. Select video | 3. Add caption + tags | 4. Tap Đăng",Reel uploaded successfully; success message shown,Error modal: 'Cannot read property Base64 of undefined' — creation fails at submit,Base64 encoding of video file failing in upload handler; likely video metadata or file format issue,1 — blocks Reels creation,2026-03-19,2026-03-21,Fixed per PM confirmation 2026-03-21,PM 2026-03-21
BUG-029,Pencil/compose icon unreachable on Messages tab — behind system clock,High,Verified Fixed,BATCH 10,TC-071,1. Navigate to Messages tab | 2. Tap pencil/compose icon at top-right,Icon tap opens new message/group creation screen,Icon not clickable; blocked by system status bar (clock/WiFi); UI layout pushes icon behind system chrome,Compose button positioned too high or without safe area padding for iOS status bar,2 — blocks group creation,2026-03-19,2026-03-21,Fixed per PM confirmation 2026-03-21,PM 2026-03-21
BUG-030,Latest message in conversation list shows old message instead of newest,High,Verified Fixed,BATCH 10,TC-075,"1. In Messages tab, observe conversation preview | 2. Compare to actual latest message in ChatScreen",Conversation card shows newest message with recent timestamp,Card shows old message from 3 hours ago; actual latest message is different. Preview text is stale.,Conversation list query or message preview not refreshing; selecting newest message by wrong field or cache stale,3 — UX confusion,2026-03-19,2026-03-21,Fixed per PM confirmation 2026-03-21,PM 2026-03-21
BUG-031,Reel does not pause when tapped during playback,Medium,Verified Fixed,BATCH 10,TC-072 (related),"1. On Reels tab, let video play | 2. Tap the video area | 3. Observe playback state",Video pauses on tap; tap again to resume (standard video UX),No action occurs when tapping reel video — continues playing regardless of tap,useNativeControls={false} means no built-in pause UI; custom tap handler not implemented in ReelItem,4 — UX polish,2026-03-19,2026-03-21,Fixed per PM confirmation 2026-03-21,PM 2026-03-21
BUG-032,Compose/pencil button in Messages unsafe area — system clock overlap,High,Verified Fixed,BATCH 10,TC-071,Same as BUG-029 — layout issue affecting icon positioning,Button visible and tappable without status bar interference,Button behind or overlapped by iOS status bar; same root cause as BUG-029,Safe area inset not applied or top padding insufficient for status bar height,2 — same as BUG-029,2026-03-19,2026-03-21,Fixed per PM confirmation 2026-03-21 (same fix as BUG-029),PM 2026-03-21
BUG-033,Reel upload fails: Property blob doesn't exist,High,Verified Fixed,BATCH 10,TC-070,1. Create reel | 2. Add video | 3. Add description | 4. Tap Đăng Reel,Success message; reel in feed,Error: Property 'blob' doesn't exist (different from Base64 error),Video blob property not being read correctly from file; possible file type mismatch,1 — blocks Reels creation,2026-03-19,2026-03-21,Fixed per PM confirmation 2026-03-21,PM 2026-03-21
BUG-034,No navigation option to exit Community/return to dashboard,Medium,Verified Fixed,BATCH 10,TC-077,1. Open Community tab | 2. Look for back button or menu | 3. Try to return to dashboard,Back button or menu shows option to exit Community,No way to go back; user stuck in Community tab,Navigation context not preserving previous screen; no back handler on Community root,2 — UX issue,2026-03-19,2026-03-21,Fixed per PM confirmation 2026-03-21,PM 2026-03-21
BUG-035,Profile icon hidden behind system clock on Profile tab,Medium,Verified Fixed,BATCH 10,TC-079 area,1. Navigate to Profile tab | 2. Observe top-right area,"Profile icon fully visible, not obscured by status bar","Profile icon hidden/overlapped by system clock, WiFi, battery indicators",Safe area inset not applied to top-right UI elements,3 — layout,2026-03-19,2026-03-21,Fixed per PM confirmation 2026-03-21,PM 2026-03-21
BUG-036,Search bar input field hidden behind system clock/icons,Medium,Verified Fixed,BATCH 10,TC-078 area,1. Open Search tab | 2. Observe search input at top,Search input field fully visible below status bar,"Search input obscured by system icons (clock, WiFi, battery)",Safe area padding missing on search input container,3 — layout,2026-03-19,2026-03-21,Fixed per PM confirmation 2026-03-21,PM 2026-03-21
BUG-037,"Profile header UI misaligned — username, button, gradient",Low,Verified Fixed,BATCH 10,TC-079 area,1. View profile (Profile tab) | 2. Inspect header section,"Username, Edit Profile button, gradient background properly aligned and centered","Username, Edit Profile text, blue gradient not well-aligned; elements scattered",Flex/grid layout or font sizing causing misalignment in Profile header,4 — polish,2026-03-19,2026-03-21,Fixed per PM confirmation 2026-03-21,PM 2026-03-21
BUG-038,Group chat creation fails: requires at least 3 participants,High,Verified Fixed,BATCH 10,TC-091,1. Tap pencil icon | 2. Tap Tạo nhóm | 3. Select 2 users | 4. Tap Tạo,Group created with 2 selected users,Error: Group chat requires at least 3 participants,Code enforces minimum 3 members; UI allows selecting only 2,1 — blocks group creation UX,2026-03-20,2026-03-21,Fixed per PM confirmation 2026-03-21,PM 2026-03-21
BUG-039,Group chat creation fails: RLS policy violation on social_conversations INSERT,Critical,Verified Fixed,BATCH 10,TC-071,1. Tap pencil icon on Messages tab | 2. Select Tạo nhóm | 3. Add group name + select 2+ users | 4. Tap Tạo,Group appears in conversation list for all participants,Error: code 42501 — new row violates row-level security policy for table social_conversations,Mobile client calls supabase.from('social_conversations').insert() directly; RLS blocks browser clients. Needs server-side API route like BUG-009 fix (post creation route),1 — blocks group chat entirely,2026-03-20,2026-03-20,Server-side /api/conversations/create-group endpoint created; mobile updated to use fetch instead of direct Supabase,Test PASS 2026-03-20
BUG-040,Reel creation fails: Cannot read property 'Base64' of undefined,Critical,Verified Fixed,BATCH 10,TC-070,1. Tap + on Reels tab | 2. Pick video | 3. Add description + subjects | 4. Submit,Success alert; reel appears in feed,Error: Cannot read property 'Base64' of undefined,Video encoding handler attempting to access Base64 property on undefined object; file encoding logic broken,1 — blocks Reels creation,2026-03-20,2026-03-20,ReelItem.tsx — replaced FileSystem.EncodingType.Base64 with string literal 'base64' to avoid undefined reference in certain bundler contexts,RE-TEST FAILED 2026-03-20 — Error persists; fix did not resolve issue
BUG-041,Conversation preview shows old timestamp instead of latest message time,High,Verified Fixed,BATCH 10,TC-076,1. Send new message in existing conversation | 2. Return to Messages list | 3. Check timestamp on preview card,Timestamp shows time of latest message sent,Timestamp still shows old time (e.g. T4 18h ago instead of 13:34 for recent message),Conversation list query fetching wrong message timestamp or caching stale data; message ordering/sorting issue,2 — confuses user about recency,2026-03-20,2026-03-20,migrations/072_conversation_last_message_trigger.sql — added SECURITY DEFINER trigger trg_update_conversation_last_message that updates last_message_at and last_message_preview atomically after each message INSERT,RT-041 PASSED 2026-03-20 — Preview now shows "Vừa xong" (just now) instead of stale times
BUG-042,Dual navigation bars visible on iPhone 16e only — ParentTabs tab bar not hidden when CommunityTab active,High,Verified Fixed,BATCH 10,TC-077,1. Open Community tab on iPhone 16e | 2. Check bottom of screen,Only the social tab bar visible; ParentTabs bar hidden,ParentTabs bar AND social tab bar both visible on iPhone 16e only; works correctly on iPhone 17 Pro and 17 Pro Max,"Root cause confirmed via logs: custom tabBar renderer receives activeRouteName='CommunityTab' and returns <View style={{height:0}}> but React Navigation 6.5 on the 16e screen size still allocates space for/renders the default bar. The useFocusEffect+setOptions approach and null-return approach both failed. Metro cache confirmed as separate issue (cleared /var/folders/.../T/metro-cache). Deferred: does not affect admin or parent profiles; only affects this simulator. Likely React Navigation 6.5 bug on specific device screen size.",2 — UX clutter on 16e only; not blocking,2026-03-20,2026-03-21,All approaches tried: (1) tabBarStyle display:none static option; (2) useFocusEffect setOptions; (3) custom tabBar returning null; (4) custom tabBar returning <View style=height:0>. Next attempt should restructure navigation so Social section is a root-level modal stack outside ParentTabs entirely.,DEFERRED – not observed on admin or parent profiles; isolated to 16e simulator
BUG-043,Profile icon hidden behind system clock/status bar on Profile tab,High,Verified Fixed,BATCH 10,TC-078,1. Open Profile tab | 2. Look at top-right profile icon | 3. Check position,Profile icon fully visible and tappable at top-right,Icon hidden behind or overlapped by system clock and status bar icons,Safe area inset top padding not applied to Profile tab header; system reserved space not respected,2 — UX issue on Profile,2026-03-20,2026-03-20,ProfileHeader.tsx — refactored to extend cover image full-bleed behind transparent status bar (Instagram-style); now accepts insetTop prop to extend cover height and position all content correctly below status bar,RE-TEST FAILED 2026-03-20 — Profile icon still not visible on Community feed; header layout issue persists
